Player_name,Level,Role,Metric,Score
Mustafizur Rahman,capped,Bowler,FIS,80.55316273
Eshan Malinga,capped,Bowler,FIS,30.0
Rahul Tripathi,capped,Batter,FIS,63.10343626
Quinton de Kock,capped,Wicket Keeper,FIS,30.0
Lungisani Ngidi,capped,Bowler,FIS,75.30528494
Ramandeep Singh,capped,All Rounder,FIS,63.09545465
Axar Patel,Elite,All Rounder,FIS,56.55136242
Mathew Breetzke,capped,Wicket Keeper,FIS,30.0
Mitchell Santner,capped,All Rounder,FIS,82.48938105
Abhinav Manohar,capped,Batter,FIS,30.0
Krunal Pandya,capped,All Rounder,FIS,49.90884322
MS Dhoni,Elite,Wicket Keeper,FIS,59.9381107
Ashwani Kumar,Uncapped,Bowler,FIS,76.71876086
Noor Ahmad,capped,Bowler,FIS,30.0
Romario Shepherd,capped,All Rounder,FIS,30.0
Nitish Kumar Reddy,capped,All Rounder,FIS,55.31600154
Washington Sundar,capped,All Rounder,FIS,49.89571513
Harpreet Brar,capped,Bowler,FIS,30.0
Anshul Kamboj,capped,All Rounder,FIS,64.08603522
Shashank Singh,capped,All Rounder,FIS,30.0
Prince Yadav,Uncapped,Bowler,FIS,89.95832487
Jake Frazer McGurk,capped,Batter,FIS,30.0
Akash Singh,Uncapped,Bowler,FIS,30.0
Harshit Rana,capped,Bowler,FIS,70.35119736
Azmatullah Omarzai,capped,All Rounder,FIS,49.86679472
Yudhvir Singh Charak,Uncapped,Bowler,FIS,30.0
Praveen Dubey,Uncapped,All Rounder,FIS,30.0
Jofra Archer,capped,Bowler,FIS,62.48327916
Glenn Maxwell,capped,Batter,FIS,30.0
Akash Madhwal,Uncapped,Bowler,FIS,30.0
Nuwan Thushara,capped,Bowler,FIS,30.0
Josh Hazlewood,Elite,Bowler,FIS,30.0
Abdul Samad,capped,All Rounder,FIS,55.01121507
Kuldeep Yadav,Elite,Bowler,FIS,56.15815786
Rovman powell,capped,Batter,FIS,30.0
Digvesh Rathi,Uncapped,Bowler,FIS,30.0
Sai Kishore,capped,All Rounder,FIS,69.50706002
William O'Rourke,capped,Bowler,FIS,30.0
Mukesh Choudhary,Uncapped,Bowler,FIS,66.56318488
Madhav Tiwari,Uncapped,All Rounder,FIS,30.0
Sam Curran,capped,All Rounder,FIS,30.0
Varun Chakaravarthy,capped,Bowler,FIS,30.0
Andre Russell,capped,All Rounder,FIS,49.96082632
Kamindu Mendis,capped,All Rounder,FIS,30.0
Ravichandran Ashwin,Elite,All Rounder,FIS,60.70173025
Kulwant Khejroliya,Uncapped,Bowler,FIS,30.0
Pat Cummins,Elite,Bowler,FIS,76.97733707
Yash Thakur,Uncapped,Bowler,FIS,66.15831712
Mohammed Siraj,capped,Bowler,FIS,86.14878092
Arshdeep Singh,Elite,Bowler,FIS,30.0
Hardik Pandya,Elite,All Rounder,FIS,30.0
Wanindu Hasaranga,capped,All Rounder,FIS,62.44473259
Sandeep Sharma,capped,Bowler,FIS,63.769529
Lockie Ferguson,capped,Bowler,FIS,49.90884322
Robin Minz,Uncapped,Wicket Keeper,FIS,30.0
Khaleel Ahmed,capped,Bowler,FIS,75.30553565
Vaibhav Arora,capped,Bowler,FIS,55.49391829
Tushar Deshpande,capped,Bowler,FIS,65.19793733
Shahbaz Ahmed,Uncapped,All Rounder,FIS,30.0
Karn Sharma,capped,Bowler,FIS,64.11964207
Xavier Bartlett,capped,Bowler,FIS,30.0
Harshal Patel,capped,Bowler,FIS,55.19139353
Maheesh Theekshana,capped,Bowler,FIS,55.2675389
Kumar Kartikeya Singh,Uncapped,Bowler,FIS,30.0
Vijaykumar Vyshak,capped,Bowler,FIS,61.98863682
Anukul Roy,Uncapped,All Rounder,FIS,30.0
Yuzvendra Chahal,Elite,Bowler,FIS,64.17469447
Vignesh Puthur,Uncapped,Bowler,FIS,30.0
Manimaran Siddharth,Uncapped,Bowler,FIS,30.0
Matheesha Pathirana,capped,Bowler,FIS,59.78081476
Rashid Khan,Elite,All Rounder,FIS,51.51014561
Gerald Coetzee,capped,Bowler,FIS,30.0
Marcus Stoinis,capped,All Rounder,FIS,30.0
Shardul Thakur,capped,All Rounder,FIS,30.0
Akash Deep,capped,Bowler,FIS,63.49870245
Trent Boult,capped,Bowler,FIS,30.0
Deepak Chahar,capped,Bowler,FIS,49.95607353
