Player_id,Team,Player_name,Role,Nationality,Auction_price,Batting_type,Bowling type,Level,PPS_Score,Consistency_Score,Opening_Score,Middle_Score,Death_Score,Final_Phase_Score,RSI_Score,TCS_Score,FIS_Score,Overall_Score
KKRO1,KKR,Varun Chakaravarthy,Bowler,India,1200,Right-hand,Right Leg-Spin,capped,57.08541690902433,63.17546864276255,52.957119351541756,62.227640497743195,53.58574811042584,56.15949597261183,48.22248591359773,53.30397149432915,30.0,51.69
KKRA6,KKR,Andre Russell,All Rounder,West Indies,1200,Right-hand,Right Medium-Fast,capped,59.29860972136515,50.82090764346269,54.02028110907763,51.64866452460221,53.43840503737049,52.927645543377984,30.0,68.66174734472003,49.960826317369325,51.68
SRHA3,SRH,Kamindu Mendis,All Rounder,Sri Lanka,75,Left-hand,Ambidextureous,capped,55.66314938084852,57.59214511189834,62.069416607918875,59.96124648375259,57.15541767547649,59.702838749935886,47.55504697966252,58.414703528878306,30.0,51.64
CSKA9,CSK,Ravichandran Ashwin,All Rounder,India,975,Right-hand,Right Off-Spin,Elite,57.50550518883469,56.160112714840295,54.91153466658782,53.0305229668182,54.49848942214122,53.83819584180801,30.0,55.93442428748379,60.701730248792714,51.42
GTO6,GT,Kulwant Khejroliya,Bowler,India,30,Left-hand,Left Medium-Fast,Uncapped,59.23635311077594,85.26605342860012,57.19945207428478,74.73785209288445,59.79057496052586,63.67438518811849,30.0,54.78991203097708,30.0,51.16
SRHO2,SRH,Pat Cummins,Bowler,Australia,1800,Right-hand,Right Fast,Elite,55.825649886481514,56.5183999200939,54.148333376414186,56.29144188716235,54.45699114546026,55.09701297597313,30.0,54.47854240927683,76.9773370674854,51.11
PBKSO6,PBKS,Yash Thakur,Bowler,India,160,Right-hand,Right Fast-Medium,Uncapped,56.63071925351137,57.95372528872561,50.97238807501772,64.60024704332646,50.373083732268725,56.52759031089697,30.0,56.58164388002973,66.15831711895439,51.03
GTO8,GT,Mohammed Siraj,Bowler,India,1225,Right-hand,Right Fast-Medium,capped,54.894177543483934,52.08957506440829,50.585644315709104,54.325334911708154,49.11725917665935,52.343642750003305,30.0,52.94349318858018,86.14878092201954,50.65
PBKSO2,PBKS,Arshdeep Singh,Bowler,India,1800,Left-hand,Left Medium-Fast,Elite,55.87017922118797,59.56642340019816,50.558031348460716,58.538439970630506,50.71529904117982,53.967245487289034,47.57859830681487,53.063316231504935,30.0,50.59
MIA2,MI,Hardik Pandya,All Rounder,India,1635,Right-hand,Right Medium-Fast,Elite,57.937220779597766,49.618778529829996,54.03673712442102,48.138129086318344,52.776468501216286,51.6545351510498,51.46962318618825,59.395282062170494,30.0,50.55
RRA2,RR,Wanindu Hasaranga,All Rounder,Sri Lanka,525,Right-hand,Right Leg-Spin,capped,54.92393459953331,53.11253166522394,48.860847131909786,52.74114222483425,47.87255488454717,49.981637257229174,30.0,56.74221131436148,62.44473259497547,50.42
RRO11,RR,Sandeep Sharma,Bowler,India,400,Right-hand,Right Medium-Fast,capped,56.1120183843444,65.51898341458835,52.132569372150996,60.67585478607117,52.75657108451011,55.72713614018631,30.0,52.83390886161989,63.769528998132884,50.41
PBKSO09,PBKS,Lockie Ferguson,Bowler,New Zealand,200,Right-hand,Right Fast,capped,56.264128050681975,61.91238223472485,60.33046959896229,58.44384539126271,59.96627783197343,59.26311108166918,30.0,56.18832615737085,49.908843222221165,50.06
MIW3,MI,Robin Minz,Wicket Keeper,India,65,Left-hand,Left Off-Spin,Uncapped,55.21598741253972,47.336027907105134,62.31138109112119,47.92790934132883,60.466017633306734,56.45384330541973,48.150430273528244,53.81043849460414,30.0,49.97
CSKO8,CSK,Khaleel Ahmed,Bowler,India,480,Left-hand,Left Fast-Medium,capped,55.81868763668693,55.67668473159131,49.9034217821043,58.85629410588808,48.9581989556675,53.652072277453414,30.0,51.74814461012183,75.3055356481859,49.96
KKRO3,KKR,Vaibhav Arora,Bowler,India,180,Right-hand,Right Medium-fast,capped,56.70495284601057,64.43953420685185,51.51482033561032,61.9558279379327,52.64279801616226,55.99864924612526,30.0,54.13621746268828,55.493918291688615,49.93
RRO2,RR,Tushar Deshpande,Bowler,India,625,Right-hand,Right Fast-Medium,capped,55.749070519216,61.29445562401949,52.0081928311419,59.966508571638755,52.27190898465331,54.48700691296143,30.0,51.99612708470716,65.19793733309774,49.68
LSGA6,LSG,Shahbaz Ahmed,All Rounder,India,240,Left-hand,Left Off-Spin,Uncapped,57.321463542249205,55.68697939632533,55.42132209665756,59.22702719371246,53.46909297810254,56.91365618659627,30.0,68.42575908248318,30.0,49.67
MIO4,MI,Karn Sharma,Bowler,India,50,Right-hand,Right Leg-Spin,capped,56.24646500215926,55.197057654994865,53.53094228288329,54.79037095910425,53.514395707386754,53.893709012849,30.0,54.00422706991928,64.11964207411489,49.45
PBKSO7,PBKS,Xavier Bartlett,Bowler,Australia,80,Right-hand,Right Fast-Medium,capped,55.201177186273725,51.278638147909206,49.25837967412487,52.78334233281571,47.76722972903096,50.94542499048134,30.0,71.57724095103694,30.0,49.44
SRHO4,SRH,Harshal Patel,Bowler,India,800,Right-hand,Right Medium-Fast,capped,55.739419456177735,59.991094843134036,50.35562111404951,58.479520308760925,50.07423663411638,53.07103984860261,30.0,55.85698629428249,55.19139352526712,49.3
RRO6,RR,Maheesh Theekshana,Bowler,Sri Lanka,440,Right-hand,Right Off-Spin,capped,55.67853646661696,60.86167196795503,51.24634261080263,58.581362111394554,51.51066142919976,54.094041311420135,30.0,54.79632280349152,55.26753890181469,49.28
RRO3,RR,Kumar Kartikeya Singh,Bowler,India,30,Right-hand,Left Leg-Spin,Uncapped,55.90570873542194,53.23398676279383,55.96955109902426,56.38901291236309,54.54405279272511,55.61544851534002,30.0,66.70743279399635,30.0,49.23
PBKSO4,PBKS,Vijaykumar Vyshak,Bowler,India,180,Right-hand,Right Fast-Medium,capped,55.850051065793,60.79831008765946,50.94322569050319,61.38934317206305,51.43597668615571,55.35981873614463,30.0,50.5957491615447,61.98863682133262,49.11
